IDMunicipio,IDProvincia,IDCCAA,Municipio,Provincia,CCAA
3918,25,09,Llimiana,LLEIDA,Cataluña
3919,25,09,Llobera,LLEIDA,Cataluña
3920,25,09,Maials,LLEIDA,Cataluña
3921,25,09,Maldà,LLEIDA,Cataluña
3922,25,09,Massalcoreig,LLEIDA,Cataluña
3923,25,09,Massoteres,LLEIDA,Cataluña
3924,25,09,Menàrguens,LLEIDA,Cataluña
3925,25,09,Miralcamp,LLEIDA,Cataluña
3926,25,09,Mollerussa,LLEIDA,Cataluña
3927,25,09,Molsosa (La),LLEIDA,Cataluña
3928,25,09,Montellà i Martinet,LLEIDA,Cataluña
3929,25,09,Montferrer i Castellbò,LLEIDA,Cataluña
3930,25,09,Montgai,LLEIDA,Cataluña
3931,25,09,Montoliu de Lleida,LLEIDA,Cataluña
3932,25,09,Montoliu de Segarra,LLEIDA,Cataluña
3933,25,09,Montornès de Segarra,LLEIDA,Cataluña
3934,25,09,Nalec,LLEIDA,Cataluña
3935,25,09,Naut Aran,LLEIDA,Cataluña
3936,25,09,Navès,LLEIDA,Cataluña
3937,25,09,Odèn,LLEIDA,Cataluña
3938,25,09,Oliana,LLEIDA,Cataluña
3939,25,09,Oliola,LLEIDA,Cataluña
3940,25,09,Olius,LLEIDA,Cataluña
3941,25,09,Oluges (Les),LLEIDA,Cataluña
3942,25,09,Omellons (Els),LLEIDA,Cataluña
3943,25,09,Omells de na Gaia (Els),LLEIDA,Cataluña
3944,25,09,Organyà,LLEIDA,Cataluña
3945,25,09,Os de Balaguer,LLEIDA,Cataluña
3946,25,09,Ossó de Sió,LLEIDA,Cataluña
3947,25,09,Palau d'Anglesola (El),LLEIDA,Cataluña
3948,25,09,Penelles,LLEIDA,Cataluña
3949,25,09,Peramola,LLEIDA,Cataluña
3950,25,09,Pinell de Solsonès,LLEIDA,Cataluña
3951,25,09,Pinós,LLEIDA,Cataluña
3952,25,09,Plans de Sió (Els),LLEIDA,Cataluña
3953,25,09,Poal (El),LLEIDA,Cataluña
3954,25,09,Pobla de Cérvoles (La),LLEIDA,Cataluña
3955,25,09,Pobla de Segur (La),LLEIDA,Cataluña
3956,25,09,Pont de Bar (El),LLEIDA,Cataluña
3957,25,09,Pont de Suert (El),LLEIDA,Cataluña
3958,25,09,Ponts,LLEIDA,Cataluña
3959,25,09,Portella (La),LLEIDA,Cataluña
3960,25,09,Prats i Sansor,LLEIDA,Cataluña
3961,25,09,Preixana,LLEIDA,Cataluña
3962,25,09,Preixens,LLEIDA,Cataluña
3963,25,09,Prullans,LLEIDA,Cataluña
3964,25,09,Puiggròs,LLEIDA,Cataluña
3965,25,09,Puigverd d'Agramunt,LLEIDA,Cataluña
3966,25,09,Puigverd de Lleida,LLEIDA,Cataluña
3967,25,09,Rialp,LLEIDA,Cataluña
3968,25,09,Ribera d'Ondara,LLEIDA,Cataluña
3969,25,09,Ribera d'Urgellet,LLEIDA,Cataluña
3970,25,09,Riner,LLEIDA,Cataluña
3971,25,09,Riu de Cerdanya,LLEIDA,Cataluña
3972,25,09,Rosselló,LLEIDA,Cataluña
3973,25,09,Salàs de Pallars,LLEIDA,Cataluña
3974,25,09,Sanaüja,LLEIDA,Cataluña
3975,25,09,Sant Esteve de la Sarga,LLEIDA,Cataluña
3976,25,09,Sant Guim de Freixenet,LLEIDA,Cataluña
3977,25,09,Sant Guim de la Plana,LLEIDA,Cataluña
